nse_ticker,custom_basic_industry
CIPLA,Pharma - Large Cap Formulations
LUPIN,Pharma - Large Cap Formulations
AUROPHARMA,Pharma - Large Cap Formulations
ALKEM,Pharma - Large Cap Formulations
TORNTPHARM,Pharma - Large Cap Formulations
MANKIND,Pharma - Large Cap Formulations
ZYDUSLIFE,Pharma - Large Cap Formulations
EMCURE,Pharma - Large Cap Formulations

# CDMO & API
DIVI,CDMO & API
SYNGENE,CDMO & API
BIOCON,CDMO & API
SHILPAMED,CDMO & API
NEULANDLAB,CDMO & API
LAURUS,CDMO & API
LAURUSLABS,CDMO & API
GLAND,CDMO & API
CONCORDBIO,CDMO & API
SOLARA,CDMO & API
COHANCE,CDMO & API
BLUEJET,CDMO & API
IOLCP,CDMO & API
AARTIDRUGS,CDMO & API
AARTIPHARM,CDMO & API
GRANULES,CDMO & API
WINDLAS,CDMO & API
AKUMS,CDMO & API
SUPRIYA,CDMO & API
SAILIFE,CDMO & API
DCAL,CDMO & API
RUBICON,CDMO & API

# Diagnostics
LALPATHLAB,Diagnostics
METROPOLIS,Diagnostics
KRSNAA,Diagnostics
VIJAYA,Diagnostics
SURAKSHA,Diagnostics
THYROCARE,Diagnostics

# Pharma - Mid Cap Formulations
AJANTPHARM,Pharma - Mid Cap Formulations
APLLTD,Pharma - Mid Cap Formulations
IPCALAB,Pharma - Mid Cap Formulations
JBCHEPHARM,Pharma - Mid Cap Formulations
ERIS,Pharma - Mid Cap Formulations
GLAXO,Pharma - Mid Cap Formulations
ABBOTINDIA,Pharma - Mid Cap Formulations
PPLPHARMA,Pharma - Mid Cap Formulations
PFIZER,Pharma - Mid Cap Formulations
SANOFI,Pharma - Mid Cap Formulations
ASTRAZEN,Pharma - Mid Cap Formulations
PGHL,Pharma - Mid Cap Formulations
GLENMARK,Pharma - Mid Cap Formulations
NATCOPHARM,Pharma - Mid Cap Formulations
INDOCO,Pharma - Mid Cap Formulations
CAPLIPOINT,Pharma - Mid Cap Formulations
STAR,Pharma - Mid Cap Formulations
WOCKPHARMA,Pharma - Mid Cap Formulations
MARKSANS,Pharma - Mid Cap Formulations
JUBLPHARMA,Pharma - Mid Cap Formulations
INNOVACAP,Pharma - Mid Cap Formulations
ORCHPHARMA,Pharma - Mid Cap Formulations
SANOFICONR,Pharma - Mid Cap Formulations
HIKAL,Pharma - Mid Cap Formulations

# Pharma - Small Cap & Niche
HESTERBIO,Pharma - Small Cap & Niche
DIVISLAB,Pharma - Small Cap & Niche
KOPRAN,Pharma - Small Cap & Niche
BAJAJHCARE,Pharma - Small Cap & Niche
BALAXI,Pharma - Small Cap & Niche
BALPHARMA,Pharma - Small Cap & Niche
BETA,Pharma - Small Cap & Niche
BIOFILCHEM,Pharma - Small Cap & Niche
BLISSGVS,Pharma - Small Cap & Niche
BROOKS,Pharma - Small Cap & Niche
FDC,Pharma - Small Cap & Niche
GUFICBIO,Pharma - Small Cap & Niche
GUJTHEM,Pharma - Small Cap & Niche
HALEOSLABS,Pharma - Small Cap & Niche
INDSWFTLAB,Pharma - Small Cap & Niche
JAGSNPHARM,Pharma - Small Cap & Niche
KILITCH,Pharma - Small Cap & Niche
KREBSBIO,Pharma - Small Cap & Niche
LASA,Pharma - Small Cap & Niche
LINCOLN,Pharma - Small Cap & Niche
LYKALABS,Pharma - Small Cap & Niche
MEDICAMEQ,Pharma - Small Cap & Niche
MEDICO,Pharma - Small Cap & Niche
MOREPENLAB,Pharma - Small Cap & Niche
NATCAPSUQ,Pharma - Small Cap & Niche
NECLIFE,Pharma - Small Cap & Niche
NGLFINE,Pharma - Small Cap & Niche
ONESOURCE,Pharma - Small Cap & Niche
PANACEABIO,Pharma - Small Cap & Niche
PAR,Pharma - Small Cap & Niche
RPGLIFE,Pharma - Small Cap & Niche
SENORES,Pharma - Small Cap & Niche
SIGACHI,Pharma - Small Cap & Niche
SMSPHARMA,Pharma - Small Cap & Niche
SPARC,Pharma - Small Cap & Niche
SUDEEPPHRM,Pharma - Small Cap & Niche
SYNCOMF,Pharma - Small Cap & Niche
THEMISMED,Pharma - Small Cap & Niche
UNICHEMLAB,Pharma - Small Cap & Niche
VAISHALI,Pharma - Small Cap & Niche
VALIANTLAB,Pharma - Small Cap & Niche
VENUSREM,Pharma - Small Cap & Niche
VINEETLAB,Pharma - Small Cap & Niche
VIVIMEDLAB,Pharma - Small Cap & Niche
VIYASH,Pharma - Small Cap & Niche
ZIMLAB,Pharma - Small Cap & Niche
ZOTA,Pharma - Small Cap & Niche
BAFNAPH,Pharma - Small Cap & Niche
AMANTA,Pharma - Small Cap & Niche
ACUTAAS,Pharma - Small Cap & Niche
AAREYDRUGS,Pharma - Small Cap & Niche
AHCL,Pharma - Small Cap & Niche
ALBERTDAVD,Pharma - Small Cap & Niche
ALIVUS,Pharma - Small Cap & Niche
ALPA,Pharma - Small Cap & Niche
SAKAR,Pharma - Small Cap & Niche

# Consumer Health & OTC Pharma
AMRUTANJAN,Consumer Health & OTC Pharma

# ── NBFC → split by business model ───────────────────────────────────────────
# Diversified Retail Finance
BAJFINANCE,NBFC - Diversified Retail Finance
HDBFS,NBFC - Diversified Retail Finance
IIFL,NBFC - Diversified Retail Finance
POONAWALLA,NBFC - Diversified Retail Finance
SHRIRAMFIN,NBFC - Diversified Retail Finance
SUNDARMFIN,NBFC - Diversified Retail Finance
FIVESTAR,NBFC - Diversified Retail Finance
TATACAP,NBFC - Diversified Retail Finance
CGCL,NBFC - Diversified Retail Finance
SBICARD,NBFC - Diversified Retail Finance

# Vehicle & Equipment Finance
CHOLAFIN,NBFC - Vehicle & Equipment Finance
M&MFIN,NBFC - Vehicle & Equipment Finance
INDOSTAR,NBFC - Vehicle & Equipment Finance

# Gold Finance
MANAPPURAM,NBFC - Gold Finance
MUTHOOTFIN,NBFC - Gold Finance
MUTHOOTCAP,NBFC - Gold Finance

# Microfinance
ARMANFIN,NBFC - Microfinance & Rural
AYE,NBFC - Microfinance & Rural
UJJIVAN,NBFC - Microfinance & Rural

# NBFC - Small & Niche
AIIL,NBFC - Small & Niche
AVONMORE,NBFC - Small & Niche
BAIDFIN,NBFC - Small & Niche
CIFL,NBFC - Small & Niche
CPCAP,NBFC - Small & Niche
CREST,NBFC - Small & Niche
CSLFINANCE,NBFC - Small & Niche
DHUNINV,NBFC - Small & Niche
FEDFINA,NBFC - Small & Niche
FINKURVE,NBFC - Small & Niche
HBSL,NBFC - Small & Niche
LAXMIINDIA,NBFC - Small & Niche
MANBA,NBFC - Small & Niche
MANCREDIT,NBFC - Small & Niche
MASFIN,NBFC - Small & Niche
MONEYBOXX,NBFC - Small & Niche
MUFIN,NBFC - Small & Niche
NBIFIN,NBFC - Small & Niche
NORTHARC,NBFC - Small & Niche
PAISALO,NBFC - Small & Niche
PFS,NBFC - Small & Niche
PIRAMALFIN,NBFC - Small & Niche
SBFC,NBFC - Small & Niche
SGFIN,NBFC - Small & Niche
STARTECK,NBFC - Small & Niche
TEAMGTY,NBFC - Small & Niche
TFL,NBFC - Small & Niche
TRU,NBFC - Small & Niche
UGROCAP,NBFC - Small & Niche
UYFINCORP,NBFC - Small & Niche

# ── Auto Components → by product type ────────────────────────────────────────
# Tyres
APOLLOTYRE,Tyres
BALKRISIND,Tyres
MRF,Tyres
CEATLTD,Tyres
JKTYRE,Tyres
MODIRUBBER,Tyres
TVSSRICHAK,Tyres
TOLINS,Tyres

# Bearings
SCHAEFFLER,Bearings
SKFINDIA,Bearings
TIMKEN,Bearings
NRBBEARING,Bearings
MENONBE,Bearings

# Auto Electricals
MOTHERSON,Auto Electricals & Wiring
LUMAXTECH,Auto Electricals & Wiring
LUMAXIND,Auto Electricals & Wiring
MINDA,Auto Electricals & Wiring
MINDACORP,Auto Electricals & Wiring
UNOMINDA,Auto Electricals & Wiring
FIEMIND,Auto Electricals & Wiring
MSUMI,Auto Electricals & Wiring
INDNIPPON,Auto Electricals & Wiring

# Forgings & Castings
BHARATFORG,Forgings & Castings - Auto
CIEINDIA,Forgings & Castings - Auto
RKFORGE,Forgings & Castings - Auto
MMFL,Forgings & Castings - Auto
SANSERA,Forgings & Castings - Auto
ROLEXRINGS,Forgings & Castings - Auto
CRAFTSMAN,Forgings & Castings - Auto

# Auto Components - Engine & Drivetrain
BOSCHLTD,Auto Components - Engine & Drivetrain
DIVGIITTS,Auto Components - Engine & Drivetrain
JTEKTINDIA,Auto Components - Engine & Drivetrain
SUNCLAY,Auto Components - Engine & Drivetrain
SUNDRMFAST,Auto Components - Engine & Drivetrain
SUNDRMBRAK,Auto Components - Engine & Drivetrain
SHRIPISTON,Auto Components - Engine & Drivetrain
SUPRAJIT,Auto Components - Engine & Drivetrain
STERTOOLS,Auto Components - Engine & Drivetrain
GABRIEL,Auto Components - Engine & Drivetrain
AUTOAXLES,Auto Components - Engine & Drivetrain
CARRARO,Auto Components - Engine & Drivetrain
LGBBROSLTD,Auto Components - Engine & Drivetrain
PRECAM,Auto Components - Engine & Drivetrain
PRICOLLTD,Auto Components - Engine & Drivetrain
TALBROAUTO,Auto Components - Engine & Drivetrain
SSWL,Auto Components - Engine & Drivetrain
WHEELS,Auto Components - Engine & Drivetrain
ZFCVINDIA,Auto Components - Engine & Drivetrain

# Auto Components - Body & EV
ALICON,Auto Components - Body & EV
ARE&M,Auto Components - Body & EV
BELRISE,Auto Components - Body & EV
EXIDEIND,Auto Components - Body & EV
SONACOMS,Auto Components - Body & EV
TIINDIA,Auto Components - Body & EV
ASAHIINDIA,Auto Components - Body & EV
BHARATSE,Auto Components - Body & EV
BHARATGEAR,Auto Components - Body & EV
JAMNAAUTO,Auto Components - Body & EV
JBMA,Auto Components - Body & EV
ASKAUTOLTD,Auto Components - Body & EV
BANCOINDIA,Auto Components - Body & EV
PAVNAIND,Auto Components - Body & EV
PPAP,Auto Components - Body & EV
SEDEMAC,Auto Components - Body & EV
SJS,Auto Components - Body & EV
SANDHAR,Auto Components - Body & EV

# Auto Components - Small & Misc
ASAL,Auto Components - Small & Misc
AUTOIND,Auto Components - Small & Misc
GNA,Auto Components - Small & Misc
HINDCOMPOS,Auto Components - Small & Misc
IGARASHI,Auto Components - Small & Misc
JAYBARMARU,Auto Components - Small & Misc
JMTAUTOLTD,Auto Components - Small & Misc
KROSS,Auto Components - Small & Misc
MUNJALAU,Auto Components - Small & Misc
MUNJALSHOW,Auto Components - Small & Misc
NDRAUTO,Auto Components - Small & Misc
OMAXAUTO,Auto Components - Small & Misc
RACLGEAR,Auto Components - Small & Misc
RAJRATAN,Auto Components - Small & Misc
REMSONSIND,Auto Components - Small & Misc
RICOAUTO,Auto Components - Small & Misc
RML,Auto Components - Small & Misc
SETCO,Auto Components - Small & Misc
SHIVAMAUTO,Auto Components - Small & Misc
SINTERCOM,Auto Components - Small & Misc
STUDDS,Auto Components - Small & Misc
TENNIND,Auto Components - Small & Misc
UNIPARTS,Auto Components - Small & Misc
URAVIDEF,Auto Components - Small & Misc
VARROC,Auto Components - Small & Misc
FMGOETZE,Auto Components - Small & Misc
PRITIKAUTO,Auto Components - Small & Misc
SHARDAMOTR,Auto Components - Small & Misc

# ── Cement → by size ──────────────────────────────────────────────────────────
# Large Cap Cement
ULTRACEMCO,Cement - Large Cap
SHREECEM,Cement - Large Cap
AMBUJACEM,Cement - Large Cap
ACC,Cement - Large Cap
GRASIM,Cement - Large Cap

# Mid Cap Cement
DALBHARAT,Cement - Mid Cap
JKCEMENT,Cement - Mid Cap
RAMCOCEM,Cement - Mid Cap
JSWCEMENT,Cement - Mid Cap
NUVOCO,Cement - Mid Cap
BIRLACORPN,Cement - Mid Cap
HEIDELBERG,Cement - Mid Cap
STARCEMENT,Cement - Mid Cap

# Small Cap Cement
INDIACEM,Cement - Small Cap
JKLAKSHMI,Cement - Small Cap
ORIENTCEM,Cement - Small Cap
KCP,Cement - Small Cap
SAGCEM,Cement - Small Cap
DECCANCE,Cement - Small Cap
APCL,Cement - Small Cap
KAKATCEM,Cement - Small Cap
MANGLMCEM,Cement - Small Cap
PRSMJOHNSN,Cement - Small Cap
NCLIND,Cement - Small Cap
SAURASHCEM,Cement - Small Cap
SANGHIIND,Cement - Small Cap
SHREDIGCEM,Cement - Small Cap
BIGBLOC,Cement - Small Cap
BURNPUR,Cement - Small Cap
BVCL,Cement - Small Cap
ACL,Cement - Small Cap
VISAKAIND,Cement - Small Cap

# ── Banks → by size ───────────────────────────────────────────────────────────
# Large Cap Private Banks
HDFCBANK,Private Banks - Large Cap
ICICIBANK,Private Banks - Large Cap
KOTAKBANK,Private Banks - Large Cap
AXISBANK,Private Banks - Large Cap

# Mid Cap Private Banks
FEDERALBNK,Private Banks - Mid Cap
INDUSINDBK,Private Banks - Mid Cap
BANDHANBNK,Private Banks - Mid Cap
IDFCFIRSTB,Private Banks - Mid Cap
RBLBANK,Private Banks - Mid Cap

# Private Banks - Small
CUB,Private Banks - Small
DCBBANK,Private Banks - Small
KTKBANK,Private Banks - Small
KARURVYSYA,Private Banks - Small
CSBBANK,Private Banks - Small
DHANBANK,Private Banks - Small
SOUTHBANK,Private Banks - Small
TMB,Private Banks - Small
J&KBANK,Private Banks - Small
YESBANK,Private Banks - Small

# Large Cap PSU Banks
SBIN,PSU Banks - Large Cap
BANKBARODA,PSU Banks - Large Cap
PNB,PSU Banks - Large Cap
CANBK,PSU Banks - Large Cap

# Mid/Small PSU Banks
UNIONBANK,PSU Banks - Mid Cap
INDIANB,PSU Banks - Mid Cap
IOB,PSU Banks - Mid Cap
CENTRALBK,PSU Banks - Mid Cap
UCOBANK,PSU Banks - Mid Cap
MAHABANK,PSU Banks - Mid Cap
PSB,PSU Banks - Mid Cap
IDBI,PSU Banks - Mid Cap

# ── Chemicals → by type ───────────────────────────────────────────────────────
# Specialty Chemicals
AARTI,Specialty Chemicals - Intermediates
VINATIORGA,Specialty Chemicals - Intermediates
CLEAN,Specialty Chemicals - Intermediates
ATUL,Specialty Chemicals - Intermediates
PIDILITIND,Specialty Chemicals - Intermediates
DEEPAKNTR,Specialty Chemicals - Intermediates
ALKYLAMINE,Specialty Chemicals - Intermediates
BALAMINES,Specialty Chemicals - Intermediates
ANURAS,Specialty Chemicals - Intermediates
AETHER,Specialty Chemicals - Intermediates
TATVA,Specialty Chemicals - Intermediates
LXCHEM,Specialty Chemicals - Intermediates

# Surfactants & Oleochemicals
GALAXYSURF,Surfactants & Oleochemicals
GODREJIND,Surfactants & Oleochemicals
ROSSARI,Surfactants & Oleochemicals
AARTISURF,Surfactants & Oleochemicals
FCL,Surfactants & Oleochemicals
FINEORG,Surfactants & Oleochemicals
SHK,Surfactants & Oleochemicals

# Fluorochemicals
SRF,Fluorochemicals & Films
NAVINFLUOR,Fluorochemicals & Films
FLUOROCHEM,Fluorochemicals & Films
NEOGEN,Fluorochemicals & Films

# Agrochemicals
UPL,Agrochemical Intermediates
PIIND,Agrochemical Intermediates
BAYERCROP,Agrochemical Intermediates
RALLIS,Agrochemical Intermediates
DHANUKA,Agrochemical Intermediates
SUMICHEM,Agrochemical Intermediates
SHARDACROP,Agrochemical Intermediates
INSECTICID,Agrochemical Intermediates
HERANBA,Agrochemical Intermediates
DHARMAJ,Agrochemical Intermediates
ADVANCE,Agrochemical Intermediates
ASTEC,Agrochemical Intermediates
BHAGCHEM,Agrochemical Intermediates
BHARATRAS,Agrochemical Intermediates
IPL,Agrochemical Intermediates
IGCL,Agrochemical Intermediates
MOL,Agrochemical Intermediates
NACLIND,Agrochemical Intermediates
NOVAAGRI,Agrochemical Intermediates
PUNJABCHEM,Agrochemical Intermediates
SHIVALIK,Agrochemical Intermediates
SIKKO,Agrochemical Intermediates

# Dyes & Pigments
AKSHARCHEM,Dyes & Pigments
ASAHISONG,Dyes & Pigments
BHAGERIA,Dyes & Pigments
BODALCHEM,Dyes & Pigments
HPIL,Dyes & Pigments
KIRIINDUS,Dyes & Pigments
PODDARMENT,Dyes & Pigments
SHREEPUSHK,Dyes & Pigments
SUDARCOLOR,Dyes & Pigments
SUDARSCHEM,Dyes & Pigments

# Specialty Chemicals - Small & Diversified
BASF,Specialty Chemicals - Diversified
BEPL,Specialty Chemicals - Diversified
CAMLINFINE,Specialty Chemicals - Diversified
CHEMBOND,Specialty Chemicals - Diversified
CHEMBONDCH,Specialty Chemicals - Diversified
CHEMCON,Specialty Chemicals - Diversified
CHEMPLASTS,Specialty Chemicals - Diversified
DDEVPLSTIK,Specialty Chemicals - Diversified
DIAMINESQ,Specialty Chemicals - Diversified
DSFCL,Specialty Chemicals - Diversified
DYNPRO,Specialty Chemicals - Diversified
EPIGRAL,Specialty Chemicals - Diversified
EXCELINDUS,Specialty Chemicals - Diversified
FAIRCHEMOR,Specialty Chemicals - Diversified
FOSECOIND,Specialty Chemicals - Diversified
HINDCON,Specialty Chemicals - Diversified
HPAL,Specialty Chemicals - Diversified
INDOAMIN,Specialty Chemicals - Diversified
ISHANCH,Specialty Chemicals - Diversified
IVP,Specialty Chemicals - Diversified
JAYAGROGN,Specialty Chemicals - Diversified
JUBLCPL,Specialty Chemicals - Diversified
JUBLINGREA,Specialty Chemicals - Diversified
KRONOX,Specialty Chemicals - Diversified
NOCIL,Specialty Chemicals - Diversified
OAL,Specialty Chemicals - Diversified
PAUSHAKLTD,Specialty Chemicals - Diversified
PLASTIBLEN,Specialty Chemicals - Diversified
PLATIND,Specialty Chemicals - Diversified
PRIVISCL,Specialty Chemicals - Diversified
STYRENIX,Specialty Chemicals - Diversified
VALIANTORG,Specialty Chemicals - Diversified
VIDHIING,Specialty Chemicals - Diversified
VIKASECO,Specialty Chemicals - Diversified
VISHNU,Specialty Chemicals - Diversified
VITAL,Specialty Chemicals - Diversified
YASHO,Specialty Chemicals - Diversified
ALKALI,Specialty Chemicals - Diversified
ACI,Specialty Chemicals - Diversified

# ── Construction → by type ────────────────────────────────────────────────────
# Civil EPC - Large
NCC,Civil EPC - Large
LT,Diversified EPC
AFCONS,Civil EPC - Large
DBL,Civil EPC - Large
GRINFRA,Civil EPC - Large
PNCINFRA,Civil EPC - Large
KNRCON,Civil EPC - Large
HGINFRA,Civil EPC - Large

# Civil EPC - Small
HCC,Civil EPC - Small
AHLUCONT,Civil EPC - Small
AKASH,Civil EPC - Small
BANKA,Civil EPC - Small
BLKASHYAP,Civil EPC - Small
CAPACITE,Civil EPC - Small
CEIGALL,Civil EPC - Small
CEMPRO,Civil EPC - Small
DBEIL,Civil EPC - Small
GARUDA,Civil EPC - Small
GKENERGY,Civil EPC - Small
GLOBECIVIL,Civil EPC - Small
GPTINFRA,Civil EPC - Small
INTERARCH,Civil EPC - Small
JKIL,Civil EPC - Small
KRIDHANINF,Civil EPC - Small
MADHUCON,Civil EPC - Small
MARKOLINES,Civil EPC - Small
MBEL,Civil EPC - Small
MBLINFRA,Civil EPC - Small
MOLDTECH,Civil EPC - Small
NAVKARURB,Civil EPC - Small
NIRAJ,Civil EPC - Small
OMINFRAL,Civil EPC - Small
PATELENG,Civil EPC - Small
PSPPROJECT,Civil EPC - Small
RAMKY,Civil EPC - Small
RKEC,Civil EPC - Small
RPPINFRA,Civil EPC - Small
SADBHAV,Civil EPC - Small
SADBHIN,Civil EPC - Small
SEPC,Civil EPC - Small
SIMPLEXINF,Civil EPC - Small
SPMLINFRA,Civil EPC - Small
SRM,Civil EPC - Small
SEMAC,Civil EPC - Small
SKIL,Civil EPC - Small
TPHQ,Civil EPC - Small
UNIVASTU,Civil EPC - Small
VPRPL,Civil EPC - Small
WELENT,Civil EPC - Small
WSI,Civil EPC - Small
ZODIAC,Civil EPC - Small
VIKRAN,Civil EPC - Small
ABINFRA,Civil EPC - Small

# Railway EPC
IRCON,Railway EPC
RVNL,Railway EPC
RITES,Railway EPC
GVKPIL,Railway EPC

