nse_ticker,sector,industry,basic_industry,notes
ABHISHEK,TEXTILES,TEXTILES - COTTON,SPINNING-COTTON/BLENDED,nse_official
ABINFRA,Construction,Construction,Civil Construction,nse_official
ABIRLANUVO,SERVICES,SERVICES,DIVERSIFIED SERVICES,nse_official
ABLBL,Consumer Services,Retailing,Speciality Retail,nse_official
ABREL,Realty,Realty,Residential Commercial Projects,nse_official
ABSLAMC,Financial Services,Capital Markets,Asset Management Company,nse_official
ABSLI,Financials,Insurance,,
ACC,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
ACCELYA,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
ACCIND,Infra,Cement,,
ACCURACY,Services,Transport Services,Logistics Solution Provider,nse_official
ACE,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,nse_official
ACEINTEG,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
ACI,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
ACL,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
ACMESOLAR,Power,Power,Power Generation,nse_official
ACUTAAS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ADANIAIRPORT,Infra,Airports,,
ADANIENSOL,Power,Power,Power Distribution,nse_official
ADANIENT,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,nse_official
ADANIGAS,Energy,Gas Distribution,,
ADANIGREEN,Power,Power,Power Generation,nse_official
ADANIPORTS,Services,Transport Infrastructure,Port & Port services,nse_official
ADANIPOWER,Power,Power,Integrated Power Utilities,nse_official
ADANITRANS,Energy,Power Transmission,,
ADFFOODS,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
ADL,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,nse_official
ADOR,Capital Goods,Industrial Products,Other Industrial Products,nse_official
ADROITINFO,Information Technology,IT - Services,IT Enabled Services,nse_official
ADSL,Information Technology,IT - Services,IT Enabled Services,nse_official
ADVAIT,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
ADVANCE,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
ADVANIHOTR,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
ADVENTHTL,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
ADVENZYMES,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,nse_official
AEGASIND,Energy,City Gas Distribution,,
AEGISLOG,Oil Gas & Consumable Fuels,Gas,Trading - Gas,nse_official
AEGISVOPAK,Oil Gas & Consumable Fuels,Oil,Oil Storage & Transportation,nse_official
AEPL,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
AEQUS,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
AEROENTER,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
AEROFLEX,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
AERONEU,Capital Goods,Industrial Products,Packaging,nse_official
AETHER,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
AFCONS,Construction,Construction,Civil Construction,nse_official
AFFLE,Information Technology,IT - Services,IT Enabled Services,nse_official
AFFORDABLE,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
AFSL,Financial Services,Finance,Holding Company,nse_official
AGANORA,Pharma,Pharma Formulations,,
AGARIND,Chemicals,Chemicals & Petrochemicals,Petrochemicals,nse_official
AGARWALEYE,Healthcare,Healthcare Services,Hospital,nse_official
AGI,Capital Goods,Industrial Products,Packaging,nse_official
AGIIL,Realty,Realty,Residential Commercial Projects,nse_official
AGROPHOS,Chemicals,Fertilizers & Agrochemicals,Fertilizers,nse_official
AHCL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AHLADA,Consumer Durables,Consumer Durables,Furniture Home Furnishing,nse_official
AHLEAST,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
AHLUCONT,Construction,Construction,Civil Construction,nse_official
AIAENG,Capital Goods,Industrial Products,Castings & Forgings,nse_official
AIIL,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
AIRAN,Information Technology,IT - Services,IT Enabled Services,nse_official
AIROLAM,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,nse_official
AJANTPHARM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AJAXENGG,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,nse_official
AJMERA,Realty,Realty,Residential Commercial Projects,nse_official
AJOONI,Fast Moving Consumer Goods,Food Products,Animal Feed,nse_official
AKASAAIR,Consumer,Aviation,,
AKASH,Construction,Construction,Civil Construction,nse_official
AKG,Services,Commercial Services & Supplies,Trading & Distributors,nse_official
AKI,Consumer Durables,Consumer Durables,Leather And Leather Products,nse_official
AKSHAR,Textiles,Textiles & Apparels,Other Textile Products,nse_official
AKSHARCHEM,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,nse_official
AKSHOPTFBR,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,nse_official
AKUMS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AKZOINDIA,Consumer,Paints,,
ALANKIT,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
ALBERTDAVD,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ALEMBICLTD,Realty,Realty,Residential Commercial Projects,nse_official
ALEMBICPHARM,Pharma,Pharma Formulations,,
ALGOQUANT,Financial Services,Finance,Other Financial Services,nse_official
ALICON,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ALIVUS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ALKALI,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
ALKEM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ALKYL,Chemicals,Specialty Chemicals,,
ALKYLAMINE,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
ALLCARGO,Services,Transport Services,Logistics Solution Provider,nse_official
ALLDIGI,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),nse_official
ALLTIME,Consumer Durables,Consumer Durables,Houseware,nse_official
ALMONDZ,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
ALOKIND,Textiles,Textiles - Fabric,,
ALOKINDS,Textiles,Textiles & Apparels,Other Textile Products,nse_official
ALPA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ALPHAGEO,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,nse_official
ALUCAST,Metals,Auto Ancillaries,,
AMAGI,Information Technology,IT - Services,IT Enabled Services,nse_official
AMANTA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AMARA,Auto,Batteries,,
AMARON,Auto,Auto Ancillaries,,
AMBER,Consumer Durables,Consumer Durables,Household Appliances,nse_official
AMBICAAGAR,Fast Moving Consumer Goods,Household Products,Household Products,nse_official
AMBIKCO,Textiles,Textiles & Apparels,Other Textile Products,nse_official
AMBUJACEM,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
AMDIND,Capital Goods,Industrial Products,Packaging,nse_official
AMJLAND,Realty,Realty,Residential Commercial Projects,nse_official
AMNPLST,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
AMRUTANJAN,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AMTEK,Metals,Metal Forgings & Castings,,
ANAND,Auto,Auto Components,,
ANANDRATHI,Financial Services,Capital Markets,Financial Products Distributor,nse_official
ANANTRAJ,Realty,Realty,Residential Commercial Projects,nse_official
ANCHOR,Consumer,Consumer Electricals,,
ANDHRAPAP,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,nse_official
ANDHRAPER,Consumer,Paper,,
ANDHRSUGAR,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
ANGELBRKG,Financials,Stock Broking,,
ANGELONE,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
ANIKINDS,Services,Commercial Services & Supplies,Trading & Distributors,nse_official
ANMOL,Oil Gas & Consumable Fuels,Consumable Fuels,Trading - Coal,nse_official
ANTELOPUS,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,nse_official
ANTGRAPHIC,Capital Goods,Industrial Products,Packaging,nse_official
ANTHEM,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,nse_official
ANUHPHR,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ANUP,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
ANURAS,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
APAR,Cap Goods,Cables & Wires,,
APARINDS,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
APCL,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
APCOTEXIND,Capital Goods,Industrial Products,Rubber,nse_official
APEX,Fast Moving Consumer Goods,Food Products,Seafood,nse_official
APL,Metals,Steel Pipes,,
APLAPOLLO,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
APLLTD,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
APOLLO,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
APOLLOHOSP,Healthcare,Healthcare Services,Hospital,nse_official
APOLLOPHARM,Pharma,Pharmacy Retail,,
APOLLOPIPE,Capital Goods,Industrial Products,Plastic Products - Industrial,nse_official
APOLLOPIPES,Infra,Pipes & Fittings,,
APOLLOTYRE,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,nse_official
APOLSINHOT,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
APTECHT,Consumer Services,Other Consumer Services,Education,nse_official
APTUS,Financial Services,Finance,Housing Finance Company,nse_official
AQYLON,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,nse_official
ARCHIDPLY,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,nse_official
ARCHIES,Consumer Durables,Consumer Durables,Leisure Products,nse_official
ARE&M,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ARENTERP,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,nse_official
ARFIN,Metals & Mining,Non - Ferrous Metals,Aluminium,nse_official
ARIES,Chemicals,Fertilizers & Agrochemicals,Fertilizers,nse_official
ARIHANTCAP,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
ARIHANTSUP,Realty,Realty,Residential Commercial Projects,nse_official
ARIS,Construction Materials,Other Construction Materials,Other Construction Materials,nse_official
ARISINFRA,Infra,Building Materials,,
ARKADE,Realty,Realty,Residential Commercial Projects,nse_official
ARMANFIN,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
AROGRANITE,Consumer Durables,Consumer Durables,Granites & Marbles,nse_official
AROHAN,Financials,Microfinance,,
ARROWGREEN,Capital Goods,Industrial Products,Packaging,nse_official
ARSSBL,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
ARTEMISMED,Healthcare,Healthcare Services,Hospital,nse_official
ARTNIRMAN,Realty,Realty,Residential Commercial Projects,nse_official
ARVIND,Textiles,Textiles & Apparels,Garments & Apparels,nse_official
ARVINDFASN,Consumer Services,Retailing,Speciality Retail,nse_official
ARVINDSMRT,RealEstate,Real Estate - Residential,,
ARVSMART,Realty,Realty,Residential Commercial Projects,nse_official
ASAHIINDIA,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ASAHISONG,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,nse_official
ASAHISONGI,Chemicals,Specialty Chemicals,,
ASAL,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ASALCBR,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,nse_official
ASHAPURMIN,Metals & Mining,Minerals & Mining,Industrial Minerals,nse_official
ASHIANA,Realty,Realty,Residential Commercial Projects,nse_official
ASHIMASYN,Textiles,Textiles & Apparels,Other Textile Products,nse_official
ASHIRVAD,Infra,Plastic Pipes,,
ASHOKA,Construction,Construction,Civil Construction,nse_official
ASHOKAMET,Metals & Mining,Metals & Minerals Trading,Trading - Metals,nse_official
ASHOKLEY,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles,nse_official
ASIANENE,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services,nse_official
ASIANHOTNR,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
ASIANPAINT,Consumer Durables,Consumer Durables,Paints,nse_official
ASIANTILES,Consumer Durables,Consumer Durables,Ceramics,nse_official
ASK,Financials,Wealth Management,,
ASKAUTOLTD,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ASMS,Information Technology,IT - Services,IT Enabled Services,nse_official
ASPINWALL,Services,Transport Services,Logistics Solution Provider,nse_official
ASTEC,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
ASTECLIFE,Agri,Agro Chemicals,,
ASTER,Pharma,Hospitals,,
ASTERDM,Healthcare,Healthcare Services,Hospital,nse_official
ASTRA,Defense,Defense,,
ASTRAL,Capital Goods,Industrial Products,Plastic Products - Industrial,nse_official
ASTRAMICRO,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
ASTRAZEN,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ASTRON,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,nse_official
ATALREAL,Realty,Realty,Residential Commercial Projects,nse_official
ATAM,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
ATGL,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,nse_official
ATHERENERG,Automobile and Auto Components,Automobiles,2/3 Wheelers,nse_official
ATL,Services,Transport Infrastructure,Port & Port services,nse_official
ATLANTAA,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,nse_official
ATLANTAELE,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
ATLASCYCLE,Consumer Durables,Consumer Durables,Cycles,nse_official
ATUL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
ATULAUTO,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles,nse_official
AUBANK,Financial Services,Banks,Other Bank,nse_official
AURIONPRO,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
AUROPHARMA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AURUM,Information Technology,IT - Services,IT Enabled Services,nse_official
AUTOAXLES,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
AUTOEQ,Auto,Auto Ancillaries,,
AUTOIND,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
AVAADA,Renewable,Renewable Energy,,
AVADHSUGAR,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
AVALON,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
AVANTEL,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
AVANTIFEED,Fast Moving Consumer Goods,Food Products,Animal Feed,nse_official
AVENUSEMART,Consumer,Consumer Retail,,Avenue Supermarts
AVG,Services,Transport Services,Logistics Solution Provider,nse_official
AVL,Consumer Services,Retailing,Speciality Retail,nse_official
AVONMORE,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
AVROIND,Consumer Durables,Consumer Durables,Plastic Products - Consumer,nse_official
AVTNPL,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,nse_official
AWFIS,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
AWHCL,Utilities,Other Utilities,Waste Management,nse_official
AWL,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,nse_official
AXISBANK,Financial Services,Banks,Private Sector Bank,nse_official
AXISCADES,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
AYE,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
AYMSYNTEX,Textiles,Textiles & Apparels,Other Textile Products,nse_official
AZAD,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
BAFNAPH,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BAGFILMS,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,nse_official
BAIDFIN,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
BAJAJ-AUTO,Automobile and Auto Components,Automobiles,2/3 Wheelers,nse_official
BAJAJAUT,Auto,Auto OEM - 2W,,
BAJAJCON,Fast Moving Consumer Goods,Personal Products,Personal Care,nse_official
BAJAJCONS,Consumer,FMCG,,
BAJAJELEC,Consumer Durables,Consumer Durables,Household Appliances,nse_official
BAJAJELECTR,Consumer,Consumer Electricals,,
BAJAJFINSV,Financial Services,Finance,Holding Company,nse_official
BAJAJHCARE,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BAJAJHFL,Financial Services,Finance,Housing Finance Company,nse_official
BAJAJHIND,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
BAJAJHLDNG,Financial Services,Finance,Holding Company,nse_official
BAJAJINDEF,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
BAJEL,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
BAJFINANCE,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
BALAJEE,Capital Goods,Industrial Products,Packaging,nse_official
BALAJIAM,Consumer,Snacks,,
BALAJITELE,Media Entertainment & Publication,Entertainment,Media & Entertainment,nse_official
BALAMINES,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
BALASORE,Metals,Steel,,
BALAXI,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BALKRISHNA,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,nse_official
BALKRISIND,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,nse_official
BALMLAWRIE,Diversified,Diversified,Diversified,nse_official
BALPHARMA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BALRAMCHIN,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
BALUFORGE,Capital Goods,Industrial Products,Castings & Forgings,nse_official
BANARBEADS,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,nse_official
BANARISUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
BANCOINDIA,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
BANDHANBNK,Financial Services,Banks,Private Sector Bank,nse_official
BANG,Textiles,Textiles & Apparels,Garments & Apparels,nse_official
BANKA,Construction,Construction,Civil Construction,nse_official
BANKBARODA,Financial Services,Banks,Public Sector Bank,nse_official
BANKINDIA,Financial Services,Banks,Public Sector Bank,nse_official
BANSALWIRE,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
BANSWRAS,Textiles,Textiles & Apparels,Other Textile Products,nse_official
BARBEQUE,Consumer,Restaurants,,
BASF,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
BASML,Textiles,Textiles & Apparels,Other Textile Products,nse_official
BATA,Consumer,Consumer Retail - Footwear,,
BATAINDIA,Consumer Durables,Consumer Durables,Footwear,nse_official
BAYER,Chemicals,Specialty Chemicals - Agri,,
BAYERCROP,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
BBL,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
BBOX,Information Technology,IT - Services,IT Enabled Services,nse_official
BBTC,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
BBTCL,Capital Goods,Industrial Products,Packaging,nse_official
BCLIND,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,nse_official
BCONCEPTS,Consumer Services,Retailing,Speciality Retail,nse_official
BDL,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
BDSL,Defense,Defense,,
BEARDSELL,Capital Goods,Industrial Products,Other Industrial Products,nse_official
BECTORFOOD,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
BEL,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
BELLACASA,Textiles,Textiles & Apparels,Garments & Apparels,nse_official
BELRISE,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
BEML,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,nse_official
BEPL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
BERGEPAINT,Consumer Durables,Consumer Durables,Paints,nse_official
BETA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BFINVEST,Financial Services,Finance,Holding Company,nse_official
BFUTILITIE,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,nse_official
BHAGCHEM,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
BHAGERIA,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,nse_official
BHAGYANGR,Metals & Mining,Non - Ferrous Metals,Copper,nse_official
BHANDARI,Textiles,Textiles & Apparels,Other Textile Products,nse_official
BHARAT,Cap Goods,Engineering,,
BHARAT1,Auto,Auto Ancillaries,,
BHARATCOAL,Oil Gas & Consumable Fuels,Consumable Fuels,Coal,nse_official
BHARATFORG,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
BHARATGEAR,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
BHARATRAS,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
BHARATSE,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
BHARATWIRE,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
BHARTIARTL,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,nse_official
BHARTIHEXA,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,nse_official
BHEL,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
BHELPSG,Cap Goods,Power Equipment,,
BHFIN,Financials,Consumer Finance,,
BIGBLOC,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
BIKAJI,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
BIL,Consumer Durables,Consumer Durables,Leather And Leather Products,nse_official
BIOCON,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BIOFILCHEM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BIRLACABLE,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,nse_official
BIRLACORP,Infra,Cement,,
BIRLACORPN,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
BIRLAMONEY,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
BIRLANU,Consumer Durables,Consumer Durables,Furniture Home Furnishing,nse_official
BIRLASOFT,IT,IT Services,,
BIRLATELE,Telecom,Telecom Services,,
BLACKBUCK,Services,Transport Services,Transport Related Services,nse_official
BLAL,Financial Services,Finance,Investment Company,nse_official
BLISSGVS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BLKASHYAP,Construction,Construction,Civil Construction,nse_official
BLS,Consumer Services,Leisure Services,Tour Travel Related Services,nse_official
BLSE,Information Technology,IT - Services,IT Enabled Services,nse_official
BLUE,Consumer,Air Conditioning,,
BLUEBLOOD,Pharma,Pharma API,,
BLUECOAST,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
BLUEDART,Services,Transport Services,Logistics Solution Provider,nse_official
BLUEJET,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BLUESTAR,Consumer,Air Conditioners,,
BLUESTARCO,Consumer Durables,Consumer Durables,Household Appliances,nse_official
BLUESTONE,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,nse_official
BLUSPRING,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
BMWVENTLTD,Metals & Mining,Metals & Minerals Trading,Trading - Metals,nse_official
BODALCHEM,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,nse_official
BOMBAYDY,Textiles,Home Textiles,,
BOMBDYING,Textiles,Textiles - Synthetic,,
BOMDYEING,Textiles,Textiles & Apparels,Other Textile Products,nse_official
BOROLTD,Consumer Durables,Consumer Durables,Houseware,nse_official
BORORENEW,Capital Goods,Industrial Products,Glass - Industrial,nse_official
BOROSCI,Capital Goods,Industrial Products,Glass - Industrial,nse_official
BOROSIL,Consumer,Glass & Ceramics,,
BOSCH,Auto,Auto Ancillaries,,
BOSCH-HCIL,Consumer Durables,Consumer Durables,Household Appliances,nse_official
BOSCHLTD,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
BPCL,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,nse_official
BPL,Consumer Durables,Consumer Durables,Consumer Electronics,nse_official
BREMBO,Auto,Auto Ancillaries,,
BRIGADE,Realty,Realty,Residential Commercial Projects,nse_official
BRIGHOTEL,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
BRITANNIA,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
BRNL,Construction,Construction,Civil Construction,nse_official
BROOKS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
BSE,Financial Services,Capital Markets,Exchange and Data Platform,nse_official
BSHSL,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,nse_official
BSL,Textiles,Textiles & Apparels,Other Textile Products,nse_official
BSNL,Telecom,Telecom Services,,
BSOFT,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
