nse_ticker,theme_key,theme_name
AEPL,capex,Broad Capital Goods Cycle
AEQUS,defense,Defense & Aerospace
AEROENTER,metals,Metals & Mining
AEROFLEX,metals,Metals & Mining
AETHER,specialty_chem,Specialty Chemicals
AFFLE,it_services,IT Services
AFFORDABLE,capex,Broad Capital Goods Cycle
AGARIND,specialty_chem,Specialty Chemicals
AGARWALEYE,hospitals,Hospitals & Healthcare Services
AGI,renewables,Renewables & Clean Energy
AGIIL,realty,Real Estate
AGROPHOS,specialty_chem,Specialty Chemicals
AGROPHOS,rural_agri,Rural & Agri
AHCL,cdmo_pharma,CDMO / CRAMS Pharma
AHCL,branded_pharma,Branded Formulations Pharma
AHLADA,discretionary,Premium Consumer Discretionary
AHLEAST,discretionary,Premium Consumer Discretionary
AIRAN,it_services,IT Services
AIROLAM,discretionary,Premium Consumer Discretionary
AJANTPHARM,cdmo_pharma,CDMO / CRAMS Pharma
AJANTPHARM,branded_pharma,Branded Formulations Pharma
AJMERA,realty,Real Estate
AJOONI,new_age_tech,New-Age Tech (Internet/Fintech)
AKI,discretionary,Premium Consumer Discretionary
AKSHAR,discretionary,Premium Consumer Discretionary
AKSHARCHEM,specialty_chem,Specialty Chemicals
AKUMS,cdmo_pharma,CDMO / CRAMS Pharma
AKUMS,branded_pharma,Branded Formulations Pharma
ALBERTDAVD,cdmo_pharma,CDMO / CRAMS Pharma
ALBERTDAVD,branded_pharma,Branded Formulations Pharma
ALEMBICLTD,realty,Real Estate
ALGOQUANT,new_age_tech,New-Age Tech (Internet/Fintech)
ALICON,ev,Electric Vehicles
ALIVUS,cdmo_pharma,CDMO / CRAMS Pharma
ALIVUS,branded_pharma,Branded Formulations Pharma
ALKALI,specialty_chem,Specialty Chemicals
ALKEM,cdmo_pharma,CDMO / CRAMS Pharma
ALKEM,branded_pharma,Branded Formulations Pharma
ALKYLAMINE,specialty_chem,Specialty Chemicals
ALLCARGO,logistics,Logistics & Supply Chain
ALLDIGI,new_age_tech,New-Age Tech (Internet/Fintech)
ALLTIME,discretionary,Premium Consumer Discretionary
ALMONDZ,capital_markets,Capital Markets & Exchanges
ALOKINDS,discretionary,Premium Consumer Discretionary
ALPA,cdmo_pharma,CDMO / CRAMS Pharma
ALPA,branded_pharma,Branded Formulations Pharma
AMAGI,it_services,IT Services
AMANTA,cdmo_pharma,CDMO / CRAMS Pharma
AMANTA,branded_pharma,Branded Formulations Pharma
AMBER,semis,Semiconductors & Electronics Manufacturing
AMBER,discretionary,Premium Consumer Discretionary
AMBIKCO,discretionary,Premium Consumer Discretionary
AMBUJACEM,cement,Cement
AMJLAND,realty,Real Estate
AMNPLST,specialty_chem,Specialty Chemicals
AMRUTANJAN,specialty_chem,Specialty Chemicals
AMRUTANJAN,cdmo_pharma,CDMO / CRAMS Pharma
AMRUTANJAN,branded_pharma,Branded Formulations Pharma
ANANDRATHI,capital_markets,Capital Markets & Exchanges
ANANTRAJ,realty,Real Estate
ANANTRAJ,data_center,Data Center & Digital Infra
ANDHRSUGAR,specialty_chem,Specialty Chemicals
ANGELONE,capital_markets,Capital Markets & Exchanges
ANMOL,metals,Metals & Mining
ANTELOPUS,oil_upstream,Oil & Gas — Upstream
ANUHPHR,cdmo_pharma,CDMO / CRAMS Pharma
ANUHPHR,branded_pharma,Branded Formulations Pharma
ANUP,capex,Broad Capital Goods Cycle
ANURAS,specialty_chem,Specialty Chemicals
APARINDS,semis,Semiconductors & Electronics Manufacturing
APARINDS,capex,Broad Capital Goods Cycle
APCL,cement,Cement
APL,metals,Metals & Mining
APLAPOLLO,metals,Metals & Mining
APLLTD,cdmo_pharma,CDMO / CRAMS Pharma
APLLTD,branded_pharma,Branded Formulations Pharma
APOLLO,defense,Defense & Aerospace
APOLLOHOSP,hospitals,Hospitals & Healthcare Services
APOLSINHOT,discretionary,Premium Consumer Discretionary
APTECHT,discretionary,Premium Consumer Discretionary
APTECHT,new_age_tech,New-Age Tech (Internet/Fintech)
APTUS,nbfc,NBFC — Retail & Diversified
ARCHIDPLY,specialty_chem,Specialty Chemicals
ARCHIDPLY,discretionary,Premium Consumer Discretionary
ARCHIES,discretionary,Premium Consumer Discretionary
ARE&M,ev,Electric Vehicles
ARENTERP,metals,Metals & Mining
ARFIN,metals,Metals & Mining
ARIES,specialty_chem,Specialty Chemicals
ARIES,rural_agri,Rural & Agri
ARIHANTCAP,capital_markets,Capital Markets & Exchanges
ARIHANTSUP,realty,Real Estate
ARKADE,ev,Electric Vehicles
ARKADE,realty,Real Estate
AROGRANITE,discretionary,Premium Consumer Discretionary
ARROWGREEN,renewables,Renewables & Clean Energy
ARROWGREEN,new_age_tech,New-Age Tech (Internet/Fintech)
ARSSBL,capital_markets,Capital Markets & Exchanges
ARTEMISMED,hospitals,Hospitals & Healthcare Services
ARTNIRMAN,realty,Real Estate
ARVIND,discretionary,Premium Consumer Discretionary
ARVINDFASN,discretionary,Premium Consumer Discretionary
ARVSMART,realty,Real Estate
ASAHIINDIA,ev,Electric Vehicles
ASAHISONG,specialty_chem,Specialty Chemicals
ASAL,ev,Electric Vehicles
ASHAPURMIN,metals,Metals & Mining
ASHIANA,realty,Real Estate
ASHIMASYN,discretionary,Premium Consumer Discretionary
ASHOKAMET,metals,Metals & Mining
ASHOKLEY,ev,Electric Vehicles
ASIANHOTNR,discretionary,Premium Consumer Discretionary
ASIANPAINT,discretionary,Premium Consumer Discretionary
ASIANTILES,discretionary,Premium Consumer Discretionary
ASKAUTOLTD,ev,Electric Vehicles
ASMS,it_services,IT Services
ASPINWALL,logistics,Logistics & Supply Chain
ASTEC,specialty_chem,Specialty Chemicals
ASTEC,rural_agri,Rural & Agri
ASTERDM,hospitals,Hospitals & Healthcare Services
ASTRAMICRO,defense,Defense & Aerospace
ASTRAZEN,cdmo_pharma,CDMO / CRAMS Pharma
ASTRAZEN,branded_pharma,Branded Formulations Pharma
ATALREAL,new_age_tech,New-Age Tech (Internet/Fintech)
ATALREAL,realty,Real Estate
ATAM,capex,Broad Capital Goods Cycle
ATGL,oil_downstream,Oil & Gas — Downstream & Gas Utilities
ATHERENERG,ev,Electric Vehicles
ATLANTAELE,ev,Electric Vehicles
ATLANTAELE,capex,Broad Capital Goods Cycle
ATLASCYCLE,discretionary,Premium Consumer Discretionary
ATUL,specialty_chem,Specialty Chemicals
AUBANK,small_fin_banks,Small Finance & Microfinance
AURIONPRO,it_services,IT Services
AUROPHARMA,cdmo_pharma,CDMO / CRAMS Pharma
AUROPHARMA,branded_pharma,Branded Formulations Pharma
AURUM,it_services,IT Services
AURUM,new_age_tech,New-Age Tech (Internet/Fintech)
AUTOAXLES,ev,Electric Vehicles
AUTOIND,ev,Electric Vehicles
AVADHSUGAR,fmcg_staples,FMCG Staples
AVALON,semis,Semiconductors & Electronics Manufacturing
AVALON,capex,Broad Capital Goods Cycle
AVALON,new_age_tech,New-Age Tech (Internet/Fintech)
AVANTEL,defense,Defense & Aerospace
AVG,logistics,Logistics & Supply Chain
AVL,discretionary,Premium Consumer Discretionary
AVROIND,discretionary,Premium Consumer Discretionary
AVTNPL,fmcg_staples,FMCG Staples
AWL,fmcg_staples,FMCG Staples
AXISBANK,private_banks,Private Banks
AXISCADES,defense,Defense & Aerospace
AXISCADES,new_age_tech,New-Age Tech (Internet/Fintech)
AYMSYNTEX,discretionary,Premium Consumer Discretionary
AZAD,capex,Broad Capital Goods Cycle
BAFNAPH,cdmo_pharma,CDMO / CRAMS Pharma
BAFNAPH,branded_pharma,Branded Formulations Pharma
BAJAJ-AUTO,ev,Electric Vehicles
BAJAJCON,fmcg_staples,FMCG Staples
BAJAJELEC,ev,Electric Vehicles
BAJAJELEC,discretionary,Premium Consumer Discretionary
BAJAJFINSV,nbfc,NBFC — Retail & Diversified
BAJAJHCARE,cdmo_pharma,CDMO / CRAMS Pharma
BAJAJHCARE,branded_pharma,Branded Formulations Pharma
BAJAJHFL,nbfc,NBFC — Retail & Diversified
BAJAJHIND,fmcg_staples,FMCG Staples
BAJAJINDEF,capex,Broad Capital Goods Cycle
BAJEL,capex,Broad Capital Goods Cycle
BAJFINANCE,nbfc,NBFC — Retail & Diversified
BALAMINES,specialty_chem,Specialty Chemicals
BALAXI,cdmo_pharma,CDMO / CRAMS Pharma
BALAXI,branded_pharma,Branded Formulations Pharma
BALPHARMA,cdmo_pharma,CDMO / CRAMS Pharma
BALPHARMA,branded_pharma,Branded Formulations Pharma
BALRAMCHIN,fmcg_staples,FMCG Staples
BANARBEADS,discretionary,Premium Consumer Discretionary
BANARISUG,fmcg_staples,FMCG Staples
BANCOINDIA,ev,Electric Vehicles
BANDHANBNK,private_banks,Private Banks
BANDHANBNK,small_fin_banks,Small Finance & Microfinance
BANG,discretionary,Premium Consumer Discretionary
BANKBARODA,psu_banks,PSU Banks
BANKINDIA,psu_banks,PSU Banks
BANSALWIRE,metals,Metals & Mining
BANSWRAS,discretionary,Premium Consumer Discretionary
BASF,specialty_chem,Specialty Chemicals
BASML,discretionary,Premium Consumer Discretionary
BATAINDIA,discretionary,Premium Consumer Discretionary
BAYERCROP,specialty_chem,Specialty Chemicals
BAYERCROP,rural_agri,Rural & Agri
BBL,capex,Broad Capital Goods Cycle
BBOX,it_services,IT Services
BCONCEPTS,discretionary,Premium Consumer Discretionary
BDL,defense,Defense & Aerospace
BDL,psu_capex,PSU Capex Beneficiaries
BEARDSELL,capex,Broad Capital Goods Cycle
BEL,defense,Defense & Aerospace
BEL,semis,Semiconductors & Electronics Manufacturing
BEL,psu_capex,PSU Capex Beneficiaries
BELLACASA,discretionary,Premium Consumer Discretionary
BELRISE,ev,Electric Vehicles
BEML,defense,Defense & Aerospace
BEML,railways,Railways & Metro Capex
BEPL,specialty_chem,Specialty Chemicals
BERGEPAINT,discretionary,Premium Consumer Discretionary
BETA,cdmo_pharma,CDMO / CRAMS Pharma
BETA,branded_pharma,Branded Formulations Pharma
BHAGCHEM,specialty_chem,Specialty Chemicals
BHAGCHEM,rural_agri,Rural & Agri
BHAGERIA,specialty_chem,Specialty Chemicals
BHAGYANGR,metals,Metals & Mining
BHANDARI,discretionary,Premium Consumer Discretionary
BHARATCOAL,metals,Metals & Mining
BHARATFORG,ev,Electric Vehicles
BHARATGEAR,ev,Electric Vehicles
BHARATRAS,specialty_chem,Specialty Chemicals
BHARATRAS,rural_agri,Rural & Agri
BHARATSE,ev,Electric Vehicles
BHARATWIRE,metals,Metals & Mining
BHEL,ev,Electric Vehicles
BHEL,renewables,Renewables & Clean Energy
BHEL,psu_capex,PSU Capex Beneficiaries
BHEL,capex,Broad Capital Goods Cycle
BIGBLOC,cement,Cement
BIL,discretionary,Premium Consumer Discretionary
BIOCON,cdmo_pharma,CDMO / CRAMS Pharma
BIOCON,branded_pharma,Branded Formulations Pharma
BIOFILCHEM,cdmo_pharma,CDMO / CRAMS Pharma
BIOFILCHEM,branded_pharma,Branded Formulations Pharma
BIRLACORPN,cement,Cement
BIRLAMONEY,capital_markets,Capital Markets & Exchanges
BIRLANU,discretionary,Premium Consumer Discretionary
BLACKBUCK,logistics,Logistics & Supply Chain
BLISSGVS,cdmo_pharma,CDMO / CRAMS Pharma
BLISSGVS,branded_pharma,Branded Formulations Pharma
BLS,discretionary,Premium Consumer Discretionary
BLSE,it_services,IT Services
BLUECOAST,discretionary,Premium Consumer Discretionary
BLUEDART,logistics,Logistics & Supply Chain
BLUEJET,cdmo_pharma,CDMO / CRAMS Pharma
BLUEJET,branded_pharma,Branded Formulations Pharma
BLUESTARCO,discretionary,Premium Consumer Discretionary
BLUESTONE,discretionary,Premium Consumer Discretionary
BMWVENTLTD,metals,Metals & Mining
BODALCHEM,specialty_chem,Specialty Chemicals
BOMDYEING,discretionary,Premium Consumer Discretionary
BOROLTD,discretionary,Premium Consumer Discretionary
BORORENEW,renewables,Renewables & Clean Energy
BOROSIL,renewables,Renewables & Clean Energy
BOSCH-HCIL,discretionary,Premium Consumer Discretionary
BOSCHLTD,ev,Electric Vehicles
BPCL,psu_capex,PSU Capex Beneficiaries
BPCL,oil_downstream,Oil & Gas — Downstream & Gas Utilities
BPL,semis,Semiconductors & Electronics Manufacturing
BPL,discretionary,Premium Consumer Discretionary
BRIGADE,realty,Real Estate
BRIGHOTEL,discretionary,Premium Consumer Discretionary
BRITANNIA,fmcg_staples,FMCG Staples
BROOKS,cdmo_pharma,CDMO / CRAMS Pharma
BROOKS,branded_pharma,Branded Formulations Pharma
BSE,capital_markets,Capital Markets & Exchanges
BSHSL,fmcg_staples,FMCG Staples
BSL,discretionary,Premium Consumer Discretionary
BSOFT,it_services,IT Services
BURNPUR,cement,Cement
BUTTERFLY,discretionary,Premium Consumer Discretionary
BVCL,cement,Cement
BYKE,discretionary,Premium Consumer Discretionary
CALSOFT,it_services,IT Services
CAMLINFINE,specialty_chem,Specialty Chemicals
CAMPUS,discretionary,Premium Consumer Discretionary
CAMS,capital_markets,Capital Markets & Exchanges
CAMS,it_services,IT Services
CANBK,psu_banks,PSU Banks
CANFINHOME,nbfc,NBFC — Retail & Diversified
CANHLIFE,life_insurance,Life Insurance
CANTABIL,discretionary,Premium Consumer Discretionary
CAPILLARY,new_age_tech,New-Age Tech (Internet/Fintech)
CAPITALSFB,small_fin_banks,Small Finance & Microfinance
CAPLIPOINT,cdmo_pharma,CDMO / CRAMS Pharma
CAPLIPOINT,branded_pharma,Branded Formulations Pharma
CARERATING,capital_markets,Capital Markets & Exchanges
CARRARO,ev,Electric Vehicles
CARTRADE,discretionary,Premium Consumer Discretionary
CARTRADE,new_age_tech,New-Age Tech (Internet/Fintech)
CARYSIL,discretionary,Premium Consumer Discretionary
CCCL,realty,Real Estate
CCHHL,discretionary,Premium Consumer Discretionary
CCL,fmcg_staples,FMCG Staples
CDSL,capital_markets,Capital Markets & Exchanges
CEINSYS,it_services,IT Services
CEINSYS,new_age_tech,New-Age Tech (Internet/Fintech)
CELEBRITY,discretionary,Premium Consumer Discretionary
CELLO,discretionary,Premium Consumer Discretionary
CENTENKA,discretionary,Premium Consumer Discretionary
CENTEXT,metals,Metals & Mining
CENTRALBK,psu_banks,PSU Banks
CENTUM,defense,Defense & Aerospace
CENTUM,semis,Semiconductors & Electronics Manufacturing
CENTURYPLY,discretionary,Premium Consumer Discretionary
CERA,discretionary,Premium Consumer Discretionary
CGPOWER,capex,Broad Capital Goods Cycle
CHALET,discretionary,Premium Consumer Discretionary
CHAMBLFERT,specialty_chem,Specialty Chemicals
CHAMBLFERT,rural_agri,Rural & Agri
CHEMBOND,specialty_chem,Specialty Chemicals
CHEMBOND,new_age_tech,New-Age Tech (Internet/Fintech)
CHEMBONDCH,specialty_chem,Specialty Chemicals
CHEMCON,specialty_chem,Specialty Chemicals
CHEMFAB,semis,Semiconductors & Electronics Manufacturing
CHEMFAB,specialty_chem,Specialty Chemicals
CHEMPLASTS,specialty_chem,Specialty Chemicals
CHENNPETRO,oil_downstream,Oil & Gas — Downstream & Gas Utilities
CHEVIOT,ev,Electric Vehicles
CHOLAFIN,nbfc,NBFC — Retail & Diversified
CIEINDIA,ev,Electric Vehicles
CIEINDIA,it_services,IT Services
CIGNITITEC,it_services,IT Services
CIGNITITEC,new_age_tech,New-Age Tech (Internet/Fintech)
CINEVISTA,ev,Electric Vehicles
CINEVISTA,realty,Real Estate
CIPLA,cdmo_pharma,CDMO / CRAMS Pharma
CIPLA,branded_pharma,Branded Formulations Pharma
CLEAN,specialty_chem,Specialty Chemicals
CLEAN,new_age_tech,New-Age Tech (Internet/Fintech)
CLSEL,fmcg_staples,FMCG Staples
CNL,new_age_tech,New-Age Tech (Internet/Fintech)
COALINDIA,psu_capex,PSU Capex Beneficiaries
COALINDIA,metals,Metals & Mining
COCHINSHIP,defense,Defense & Aerospace
COCHINSHIP,psu_capex,PSU Capex Beneficiaries
COFFEEDAY,discretionary,Premium Consumer Discretionary
COFORGE,it_services,IT Services
COHANCE,cdmo_pharma,CDMO / CRAMS Pharma
COHANCE,branded_pharma,Branded Formulations Pharma
COLPAL,fmcg_staples,FMCG Staples
COMPUSOFT,discretionary,Premium Consumer Discretionary
CONCOR,railways,Railways & Metro Capex
CONCOR,psu_capex,PSU Capex Beneficiaries
CONCOR,logistics,Logistics & Supply Chain
CONCORDBIO,cdmo_pharma,CDMO / CRAMS Pharma
CONCORDBIO,branded_pharma,Branded Formulations Pharma
CONCORDBIO,new_age_tech,New-Age Tech (Internet/Fintech)
CONFIPET,oil_downstream,Oil & Gas — Downstream & Gas Utilities
COROMANDEL,specialty_chem,Specialty Chemicals
COROMANDEL,rural_agri,Rural & Agri
CORONA,cdmo_pharma,CDMO / CRAMS Pharma
CORONA,branded_pharma,Branded Formulations Pharma
COUNCODOS,realty,Real Estate
CPEDU,discretionary,Premium Consumer Discretionary
CPEDU,new_age_tech,New-Age Tech (Internet/Fintech)
CPPLUS,capex,Broad Capital Goods Cycle
CPPLUS,new_age_tech,New-Age Tech (Internet/Fintech)
CRAFTSMAN,ev,Electric Vehicles
CRAMC,capital_markets,Capital Markets & Exchanges
CREDITACC,small_fin_banks,Small Finance & Microfinance
CRIZAC,discretionary,Premium Consumer Discretionary
CROMPTON,ev,Electric Vehicles
CROMPTON,specialty_chem,Specialty Chemicals
CROMPTON,discretionary,Premium Consumer Discretionary
CROWN,capex,Broad Capital Goods Cycle
CSBBANK,private_banks,Private Banks
CTE,it_services,IT Services
CTE,new_age_tech,New-Age Tech (Internet/Fintech)
CUB,private_banks,Private Banks
CUBEXTUB,metals,Metals & Mining
CUMMINSIND,capex,Broad Capital Goods Cycle
CUPID,fmcg_staples,FMCG Staples
CYBERTECH,it_services,IT Services
CYBERTECH,new_age_tech,New-Age Tech (Internet/Fintech)
CYIENT,it_services,IT Services
CYIENTDLM,defense,Defense & Aerospace
CYIENTDLM,semis,Semiconductors & Electronics Manufacturing
DABUR,fmcg_staples,FMCG Staples
DALBHARAT,cement,Cement
DALMIASUG,fmcg_staples,FMCG Staples
DAMCAPITAL,capital_markets,Capital Markets & Exchanges
DAMODARIND,discretionary,Premium Consumer Discretionary
DATAMATICS,it_services,IT Services
DATAPATTNS,defense,Defense & Aerospace
DAVANGERE,fmcg_staples,FMCG Staples
DBOL,fmcg_staples,FMCG Staples
DBREALTY,realty,Real Estate
DBSTOCKBRO,capital_markets,Capital Markets & Exchanges
DCAL,cdmo_pharma,CDMO / CRAMS Pharma
DCAL,branded_pharma,Branded Formulations Pharma
DCBBANK,private_banks,Private Banks
DCI,it_services,IT Services
DCI,new_age_tech,New-Age Tech (Internet/Fintech)
DCM,it_services,IT Services
DCMNVL,discretionary,Premium Consumer Discretionary
DCMSIL,discretionary,Premium Consumer Discretionary
DCMSRIND,fmcg_staples,FMCG Staples
DCW,specialty_chem,Specialty Chemicals
DCXINDIA,defense,Defense & Aerospace
DCXINDIA,semis,Semiconductors & Electronics Manufacturing
DDEVPLSTIK,ev,Electric Vehicles
DDEVPLSTIK,specialty_chem,Specialty Chemicals
DECCANCE,cement,Cement
DEEDEV,ev,Electric Vehicles
DEEDEV,capex,Broad Capital Goods Cycle
DEEPAKFERT,specialty_chem,Specialty Chemicals
DEEPAKFERT,rural_agri,Rural & Agri
DEEPAKNTR,specialty_chem,Specialty Chemicals
DELHIVERY,logistics,Logistics & Supply Chain
DELTACORP,discretionary,Premium Consumer Discretionary
DELTAMAGNT,capex,Broad Capital Goods Cycle
DEVIT,ev,Electric Vehicles
DEVIT,it_services,IT Services
DEVIT,new_age_tech,New-Age Tech (Internet/Fintech)
DEVX,ev,Electric Vehicles
DEVYANI,ev,Electric Vehicles
DEVYANI,discretionary,Premium Consumer Discretionary
DHAMPURSUG,fmcg_staples,FMCG Staples
DHANBANK,private_banks,Private Banks
DHANUKA,specialty_chem,Specialty Chemicals
DHANUKA,new_age_tech,New-Age Tech (Internet/Fintech)
DHANUKA,rural_agri,Rural & Agri
DHARMAJ,specialty_chem,Specialty Chemicals
DHARMAJ,rural_agri,Rural & Agri
DIACABS,semis,Semiconductors & Electronics Manufacturing
DIACABS,capex,Broad Capital Goods Cycle
DIAMINESQ,specialty_chem,Specialty Chemicals
DIFFNKG,capex,Broad Capital Goods Cycle
DIGIDRIVE,discretionary,Premium Consumer Discretionary
DIGISPICE,it_services,IT Services
DIGISPICE,new_age_tech,New-Age Tech (Internet/Fintech)
DIGITIDE,it_services,IT Services
DIGJAMLMTD,discretionary,Premium Consumer Discretionary
DIVGIITTS,ev,Electric Vehicles
DIVISLAB,cdmo_pharma,CDMO / CRAMS Pharma
DIVISLAB,branded_pharma,Branded Formulations Pharma
DIXON,semis,Semiconductors & Electronics Manufacturing
DIXON,discretionary,Premium Consumer Discretionary
DIXON,new_age_tech,New-Age Tech (Internet/Fintech)
DLF,realty,Real Estate
DMART,discretionary,Premium Consumer Discretionary
DMCC,specialty_chem,Specialty Chemicals
DOLATALGO,capital_markets,Capital Markets & Exchanges
DOLATALGO,new_age_tech,New-Age Tech (Internet/Fintech)
DOLLAR,discretionary,Premium Consumer Discretionary
DONEAR,discretionary,Premium Consumer Discretionary
DPABHUSHAN,discretionary,Premium Consumer Discretionary
DPWIRES,metals,Metals & Mining
DRCSYSTEMS,it_services,IT Services
DRREDDY,cdmo_pharma,CDMO / CRAMS Pharma
DRREDDY,branded_pharma,Branded Formulations Pharma
DSFCL,specialty_chem,Specialty Chemicals
DSSL,it_services,IT Services
DTIL,fmcg_staples,FMCG Staples
DUCON,capex,Broad Capital Goods Cycle
DUCON,new_age_tech,New-Age Tech (Internet/Fintech)
DWARKESH,fmcg_staples,FMCG Staples
DYNAMATECH,capex,Broad Capital Goods Cycle
DYNAMATECH,new_age_tech,New-Age Tech (Internet/Fintech)
DYNPRO,specialty_chem,Specialty Chemicals
EASEMYTRIP,discretionary,Premium Consumer Discretionary
EASEMYTRIP,new_age_tech,New-Age Tech (Internet/Fintech)
EBGNG,semis,Semiconductors & Electronics Manufacturing
ECOSMOBLTY,logistics,Logistics & Supply Chain
EICHERMOT,ev,Electric Vehicles
EIHAHOTELS,discretionary,Premium Consumer Discretionary
EIHOTEL,discretionary,Premium Consumer Discretionary
EIMCOELECO,capex,Broad Capital Goods Cycle
EKC,ev,Electric Vehicles
EKC,capex,Broad Capital Goods Cycle
ELDEHSG,realty,Real Estate
ELECON,capex,Broad Capital Goods Cycle
ELECTCAST,metals,Metals & Mining
ELECTHERM,metals,Metals & Mining
ELIN,semis,Semiconductors & Electronics Manufacturing
ELIN,discretionary,Premium Consumer Discretionary
ELLEN,capex,Broad Capital Goods Cycle
EMAMILTD,fmcg_staples,FMCG Staples
EMAMIREAL,realty,Real Estate
EMBASSY,realty,Real Estate
EMCURE,cdmo_pharma,CDMO / CRAMS Pharma
EMCURE,branded_pharma,Branded Formulations Pharma
EMIL,semis,Semiconductors & Electronics Manufacturing
EMIL,discretionary,Premium Consumer Discretionary
EMKAY,capital_markets,Capital Markets & Exchanges
EMMVEE,semis,Semiconductors & Electronics Manufacturing
EMMVEE,capex,Broad Capital Goods Cycle
EMUDHRA,it_services,IT Services
ENCUBE,cdmo_pharma,CDMO / CRAMS Pharma
ENDURANCE,ev,Electric Vehicles
ENDURANCE,new_age_tech,New-Age Tech (Internet/Fintech)
ENERGYDEV,ev,Electric Vehicles
ENRIN,capex,Broad Capital Goods Cycle
ENTERO,discretionary,Premium Consumer Discretionary
EPACK,semis,Semiconductors & Electronics Manufacturing
EPACK,discretionary,Premium Consumer Discretionary
EPACKPEB,semis,Semiconductors & Electronics Manufacturing
EPACKPEB,capex,Broad Capital Goods Cycle
EPACKPEB,new_age_tech,New-Age Tech (Internet/Fintech)
EPIGRAL,specialty_chem,Specialty Chemicals
EQUITASBNK,small_fin_banks,Small Finance & Microfinance
ERIS,cdmo_pharma,CDMO / CRAMS Pharma
ERIS,branded_pharma,Branded Formulations Pharma
ESABINDIA,capex,Broad Capital Goods Cycle
ESAFSFB,small_fin_banks,Small Finance & Microfinance
ESCORTS,rural_agri,Rural & Agri
ESSARSHPNG,logistics,Logistics & Supply Chain
ETERNAL,discretionary,Premium Consumer Discretionary
ETHOSLTD,discretionary,Premium Consumer Discretionary
EUREKAFORB,discretionary,Premium Consumer Discretionary
EUROBOND,metals,Metals & Mining
EUROPRATIK,discretionary,Premium Consumer Discretionary
EUROTEXIND,discretionary,Premium Consumer Discretionary
EVEREADY,ev,Electric Vehicles
EVERESTIND,ev,Electric Vehicles
EXCELINDUS,specialty_chem,Specialty Chemicals
EXCELSOFT,it_services,IT Services
EXCELSOFT,new_age_tech,New-Age Tech (Internet/Fintech)
EXICOM,capex,Broad Capital Goods Cycle
EXIDEIND,ev,Electric Vehicles
EXPLEOSOL,it_services,IT Services
EXXARO,discretionary,Premium Consumer Discretionary
FABTECH,semis,Semiconductors & Electronics Manufacturing
FABTECH,new_age_tech,New-Age Tech (Internet/Fintech)
FACT,specialty_chem,Specialty Chemicals
